id,image,square
1,https://storage.yandexcloud.net/garbage-images/DJI_0037-400.jpg,"[0, 800, 0, 800]"
1,https://storage.yandexcloud.net/garbage-images/DJI_0037-400.jpg,"[1600, 2400, 0, 800]"
2,https://storage.yandexcloud.net/garbage-images/DJI_0080-1300.jpg,"[0, 800, 0, 800]"
2,https://storage.yandexcloud.net/garbage-images/DJI_0080-1300.jpg,"[1600, 2400, 0, 800]"
3,https://storage.yandexcloud.net/garbage-images/DJI_0075-1000.jpg,"[0, 800, 0, 800]"
3,https://storage.yandexcloud.net/garbage-images/DJI_0075-1000.jpg,"[800, 1600, 0, 800]"
3,https://storage.yandexcloud.net/garbage-images/DJI_0075-1000.jpg,"[1600, 2400, 0, 800]"
4,https://storage.yandexcloud.net/garbage-images/DJI_0018-1075.jpg,"[800, 1600, 0, 800]"
4,https://storage.yandexcloud.net/garbage-images/DJI_0018-1075.jpg,"[1600, 2400, 0, 800]"
6,https://storage.yandexcloud.net/garbage-images/DJI_0034-2175.jpg,"[0, 800, 0, 800]"
6,https://storage.yandexcloud.net/garbage-images/DJI_0034-2175.jpg,"[800, 1600, 0, 800]"
6,https://storage.yandexcloud.net/garbage-images/DJI_0034-2175.jpg,"[1600, 2400, 0, 800]"
7,https://storage.yandexcloud.net/garbage-images/DJI_0075-0.jpg,"[0, 800, 0, 800]"
7,https://storage.yandexcloud.net/garbage-images/DJI_0075-0.jpg,"[1600, 2400, 0, 800]"
8,https://storage.yandexcloud.net/garbage-images/DJI_0049-25.jpg,"[0, 800, 0, 800]"
8,https://storage.yandexcloud.net/garbage-images/DJI_0049-25.jpg,"[1600, 2400, 0, 800]"
9,https://storage.yandexcloud.net/garbage-images/DJI_0034-3525.jpg,"[800, 1600, 0, 800]"
9,https://storage.yandexcloud.net/garbage-images/DJI_0034-3525.jpg,"[1600, 2400, 0, 800]"
10,https://storage.yandexcloud.net/garbage-images/DJI_0008-1200.jpg,"[800, 1600, 0, 800]"
10,https://storage.yandexcloud.net/garbage-images/DJI_0008-1200.jpg,"[1600, 2400, 0, 800]"
12,https://storage.yandexcloud.net/garbage-images/DJI_0075-650.jpg,"[0, 800, 0, 800]"
12,https://storage.yandexcloud.net/garbage-images/DJI_0075-650.jpg,"[1600, 2400, 0, 800]"
13,https://storage.yandexcloud.net/garbage-images/DJI_0064-325.jpg,"[800, 1600, 0, 800]"
13,https://storage.yandexcloud.net/garbage-images/DJI_0064-325.jpg,"[1600, 2400, 0, 800]"
14,https://storage.yandexcloud.net/garbage-images/DJI_0060-2950.jpg,"[800, 1600, 0, 800]"
14,https://storage.yandexcloud.net/garbage-images/DJI_0060-2950.jpg,"[1600, 2400, 0, 800]"
15,https://storage.yandexcloud.net/garbage-images/DJI_0037-75.jpg,"[0, 800, 0, 800]"
15,https://storage.yandexcloud.net/garbage-images/DJI_0037-75.jpg,"[1600, 2400, 0, 800]"
16,https://storage.yandexcloud.net/garbage-images/DJI_0034-5425.jpg,"[0, 800, 0, 800]"
16,https://storage.yandexcloud.net/garbage-images/DJI_0034-5425.jpg,"[1600, 2400, 0, 800]"
17,https://storage.yandexcloud.net/garbage-images/DJI_0013-300.jpg,"[0, 800, 0, 800]"
17,https://storage.yandexcloud.net/garbage-images/DJI_0013-300.jpg,"[0, 800, 800, 1600]"
17,https://storage.yandexcloud.net/garbage-images/DJI_0013-300.jpg,"[800, 1600, 800, 1600]"
